    ,word          ,x                    ,y                    ,count,part_of_speech
84  ,were          ,-0.2817167639732361  ,-34.68549728393555   ,1022 ,VBD
85  ,that          ,-13.983231544494629  ,-0.39429882168769836 ,1997 ,DT
86  ,world         ,11.142855644226074   ,9.861628532409668    ,443  ,NN
87  ,ancient       ,-15.648931503295898  ,10.322402000427246   ,141  ,JJ
88  ,thought       ,3.560391902923584    ,15.525396347045898   ,44   ,NN
89  ,into          ,1.3421897888183594   ,-15.077007293701172  ,983  ,IN
90  ,told          ,1.3028178215026855   ,-27.010168075561523  ,70   ,VBD
91  ,its           ,-13.6588773727417    ,3.346226930618286    ,660  ,PRP$
92  ,what          ,-13.057760238647461  ,-11.392508506774902  ,1513 ,WP
93  ,opinion       ,7.997931003570557    ,16.653287887573242   ,362  ,NN
94  ,about         ,0.42874324321746826  ,-16.4991455078125    ,334  ,IN
95  ,things        ,-22.764972686767578  ,22.78972816467285    ,885  ,NNS
96  ,threw         ,-1.6266778707504272  ,-29.507177352905273  ,40   ,VBD
97  ,must          ,-3.2919671535491943  ,-46.84164047241211   ,489  ,MD
98  ,have          ,-39.138614654541016  ,-1.3190733194351196  ,973  ,VB
99  ,been          ,16.938634872436523   ,-28.958877563476562  ,736  ,VBN
100 ,strange       ,1.437522530555725    ,-5.683638095855713   ,92   ,JJ
101 ,kind          ,4.890559196472168    ,13.951112747192383   ,179  ,NN
102 ,light         ,2.6374874114990234   ,14.513086318969727   ,96   ,NN
103 ,on            ,1.761136770248413    ,-16.584754943847656  ,736  ,IN
104 ,many          ,25.323169708251953   ,-8.808115005493164   ,727  ,JJ
105 ,matters       ,-24.405216217041016  ,26.82369041442871    ,40   ,NNS
106 ,above         ,-0.556850016117096   ,-13.078481674194336  ,147  ,IN
107 ,himself       ,32.072200775146484   ,11.418020248413086   ,1077 ,PRP
108 ,made          ,-0.12049958109855652 ,-28.36722183227539   ,253  ,VBD
109 ,public        ,15.327693939208984   ,-2.0678327083587646  ,218  ,JJ
110 ,took          ,-1.3080929517745972  ,-27.635141372680664  ,121  ,VBD
111 ,confidence    ,15.47317886352539    ,34.84043884277344    ,39   ,NN
112 ,subjects      ,-22.140411376953125  ,21.55529022216797    ,64   ,NNS
113 ,sort          ,5.058100700378418    ,14.469453811645508   ,240  ,NN
114 ,where         ,-9.426117897033691   ,-12.089858055114746  ,619  ,WRB
115 ,made          ,14.285920143127441   ,-25.50890350341797   ,328  ,VBN
116 ,under         ,-0.2645733952522278  ,-15.220258712768555  ,270  ,IN
117 ,variety       ,-13.217567443847656  ,13.866363525390625   ,51   ,NN
118 ,if            ,-10.75584602355957   ,-10.262419700622559  ,1662 ,IN
119 ,greatest      ,-8.507403373718262   ,-20.421405792236328  ,176  ,JJS
120 ,because       ,-10.450653076171875  ,-10.970967292785645  ,252  ,IN
121 ,perhaps       ,-11.802937507629395  ,-2.461519479751587   ,52   ,RB
122 ,least         ,3.7409536838531494   ,26.274606704711914   ,233  ,JJS
123 ,do            ,-36.72783279418945   ,-1.6236391067504883  ,737  ,VB
124 ,show          ,-36.28553771972656   ,-6.800838947296143   ,44   ,VB
125 ,us            ,15.697985649108887   ,2.1951520442962646   ,1696 ,PRP
126 ,could         ,-2.661461353302002   ,-45.2569694519043    ,512  ,MD
127 ,how           ,-18.076662063598633  ,-21.715547561645508  ,704  ,WRB
