,word,x,y,count
0,letter,32.27341079711914,-7.946843147277832,32
1,chapter,-1.2173134088516235,1.027493953704834,48
2,first,-11.887977600097656,24.961448669433594,108
3,dear,-0.01994975656270981,39.98992919921875,72
4,already,34.996063232421875,2.8322701454162598,32
5,far,-19.721969604492188,18.977319717407227,39
6,feel,-1.2781401872634888,-35.47506332397461,50
7,cold,24.579465866088867,18.4370174407959,31
8,upon,-16.47865867614746,15.810181617736816,126
9,delight,-11.145243644714355,-23.908720016479492,32
10,towards,-6.972029209136963,15.536952018737793,94
11,become,19.91896629333496,-20.905176162719727,33
12,ever,41.79045486450195,29.45342445373535,80
13,sun,52.939449310302734,17.531354904174805,45
14,sea,-17.92279624938965,24.789268493652344,33
15,may,-35.23542022705078,-39.57655715942383,99
16,every,-8.704073905944824,-13.786624908447266,109
17,discovered,-30.526260375976562,-17.19781494140625,33
18,without,-36.39057922363281,22.014467239379883,30
19,country,-36.675785064697266,15.493754386901855,53
20,light,27.157522201538086,9.354061126708984,41
21,power,44.43845748901367,-18.014162063598633,39
22,shall,-3.390937328338623,-43.5237922668457,104
23,part,-34.145790100097656,44.5687141418457,39
24,world,-8.971610069274902,-36.91743469238281,45
25,never,7.23557710647583,-15.511117935180664,66
26,man,-13.214134216308594,-29.95184898376465,136
27,fear,6.655589580535889,-30.912687301635742,40
28,death,30.975357055664062,-1.954362392425537,77
29,joy,23.169055938720703,13.031481742858887,41
30,child,16.702590942382812,-28.790647506713867,35
31,little,32.44086837768555,31.850631713867188,58
32,cannot,4.754720211029053,-43.020668029785156,46
33,last,-19.14643096923828,-25.96027946472168,33
34,near,-20.832204818725586,30.107707977294922,39
35,present,-19.355073928833008,-49.81878662109375,30
36,many,-0.9412546753883362,-23.70339584350586,68
37,months,-63.548091888427734,20.671207427978516,39
38,heart,-7.597179889678955,-51.15427017211914,76
39,nothing,42.936058044433594,-40.46661376953125,39
40,much,-23.461990356445312,21.426939010620117,43
41,mind,-1.824074149131775,-54.79562759399414,85
42,soul,-15.049403190612793,30.255029678344727,36
43,years,-52.952449798583984,24.35820198059082,44
44,made,-8.901917457580566,1.0107156038284302,70
45,whole,-14.060590744018555,20.243162155151367,32
46,good,46.152774810791016,39.16622543334961,35
47,yet,24.192764282226562,22.901819229125977,152
48,day,-31.662452697753906,7.535829067230225,82
49,night,-22.29405403137207,-2.1179096698760986,88
50,felt,-30.073280334472656,-11.095178604125977,79
51,father,-19.155818939208984,-16.31757164001465,133
52,life,-9.717147827148438,-3.902339458465576,115
53,time,-37.50642013549805,9.150297164916992,98
54,whose,9.243746757507324,61.75498962402344,50
55,also,-2.7777154445648193,-16.941545486450195,66
56,became,-41.14081954956055,-15.539549827575684,61
57,one,14.434101104736328,9.23431396484375,206
58,might,-26.84391975402832,-20.376792907714844,108
59,well,28.280136108398438,24.657697677612305,44
60,thoughts,26.462472915649414,-9.483421325683594,38
61,passed,-51.604949951171875,-26.37901496887207,67
62,resolved,-33.31077194213867,35.58260726928711,32
63,even,23.610618591308594,-11.247106552124023,94
64,great,-2.475123882293701,17.411434173583984,50
65,several,-4.7710394859313965,-23.970029830932617,51
66,often,-26.818696975708008,10.317688941955566,55
67,must,-43.52518081665039,1.74198317527771,64
68,voice,-11.279589653015137,57.854957580566406,46
69,would,-28.688356399536133,-22.92359733581543,183
70,spirits,53.490692138671875,1.7300113439559937,31
71,long,15.684517860412598,37.86977005004883,46
72,sometimes,4.902847766876221,-11.137882232666016,60
73,hours,-64.44490814208984,16.350175857543945,34
74,among,-25.234331130981445,34.777496337890625,51
75,return,6.174770832061768,-24.60869789123535,49
76,see,37.19707107543945,38.96710205078125,50
77,soon,2.171248435974121,19.143993377685547,71
78,love,-0.27959203720092773,-30.5546932220459,59
79,taken,39.55755615234375,2.1817870140075684,33
80,men,-9.610235214233398,30.456707000732422,44
81,possessed,-25.6363525390625,42.13951110839844,36
82,friend,35.14738845825195,-19.443571090698242,71
83,poor,20.638790130615234,-32.9508171081543,45
84,could,-33.83723831176758,-23.920230865478516,197
85,eyes,-20.774654388427734,13.508118629455566,104
86,gentle,21.876102447509766,58.076377868652344,34
87,like,-31.54173469543457,28.383913040161133,61
88,still,-3.897287368774414,30.58439826965332,68
89,thought,-29.48410415649414,-7.1558122634887695,74
90,affection,-5.029566764831543,55.91747283935547,40
91,feelings,59.41850662231445,8.590310096740723,76
92,human,46.87759780883789,-31.539731979370117,58
93,nature,-62.38871383666992,-4.581245422363281,53
94,heard,-48.58715057373047,34.12171936035156,62
95,manner,-51.8648567199707,14.809825897216797,31
96,happiness,-11.647523880004883,15.487523078918457,49
97,young,7.148709297180176,20.030597686767578,30
98,saw,-38.266204833984375,-22.328842163085938,94
99,tears,11.388565063476562,45.76042938232422,32
100,another,35.522377014160156,25.016496658325195,47
101,old,11.7214937210083,27.340078353881836,50
102,found,-49.65192413330078,-19.233932495117188,87
103,returned,-36.05021286010742,-12.076696395874023,31
104,kind,45.92845916748047,-10.908136367797852,34
105,know,10.891302108764648,-32.112613677978516,49
106,sensations,28.138315200805664,-20.326129913330078,32
107,therefore,20.4112548828125,44.15318298339844,37
108,come,15.12077522277832,-11.266345977783203,37
109,work,27.70704460144043,-28.317846298217773,33
110,however,54.494815826416016,20.071544647216797,32
111,ice,58.293888092041016,-8.2950439453125,40
112,us,34.1661376953125,9.680245399475098,60
113,although,20.75263214111328,25.663131713867188,53
114,make,12.930953979492188,-23.392391204833984,36
115,two,-18.586761474609375,-9.35748291015625,38
116,thus,16.76838493347168,-1.792621374130249,65
117,strange,28.69307518005371,-48.35365295410156,32
118,place,17.26991081237793,-45.38650131225586,59
119,away,14.209632873535156,1.9767948389053345,50
120,beheld,-50.37289810180664,-10.42987060546875,31
121,seemed,-23.746395111083984,-7.070241451263428,36
122,lost,2.3498215675354004,47.860328674316406,33
123,appearance,-22.298486709594727,8.32949161529541,30
124,morning,-44.55168151855469,-20.7841854095459,39
125,rest,21.45234489440918,7.074947834014893,33
126,remained,-44.932411193847656,-5.912187576293945,32
127,within,-17.79412841796875,42.73344039916992,31
128,appeared,52.21250534057617,30.494674682617188,57
129,said,2.2488327026367188,31.73198890686035,102
130,earth,19.97342300415039,-8.695328712463379,36
131,days,-63.48141860961914,23.10750961303711,47
132,creature,6.310492038726807,53.36541748046875,44
133,countenance,39.062278747558594,-11.999113082885742,39
