   ,word         ,x                    ,y                    ,count
0  ,name         ,6.403888702392578    ,6.419755935668945    ,62
1  ,eyes         ,5.937178134918213    ,-0.33809638023376465 ,87
2  ,whole        ,-3.6517791748046875  ,-3.727142810821533   ,45
3  ,felt         ,0.7815445065498352   ,-0.951956033706665   ,32
4  ,one          ,0.33796268701553345  ,1.0808396339416504   ,374
5  ,cold         ,1.813881754875183    ,2.0157175064086914   ,21
6  ,mind         ,3.2361016273498535   ,-2.646348714828491   ,58
7  ,take         ,-8.669865608215332   ,-0.26380226016044617 ,79
8  ,seen         ,0.4292697608470917   ,5.041736602783203    ,72
9  ,would        ,2.4365735054016113   ,9.233183860778809    ,327
10 ,position     ,-4.509768962860107   ,-0.005491733551025391,22
11 ,never        ,-2.2023112773895264  ,-1.9720019102096558  ,108
12 ,spoke        ,2.7527952194213867   ,3.9279119968414307   ,27
13 ,save         ,0.8575605154037476   ,0.9030849933624268   ,37
14 ,things       ,-4.445361137390137   ,-0.30365893244743347 ,27
15 ,men          ,1.1541143655776978   ,-5.247314453125      ,40
16 ,might        ,2.6389524936676025   ,9.012137413024902    ,126
17 ,doubt        ,-6.630279541015625   ,3.144044876098633    ,64
18 ,upon         ,1.6788526773452759   ,1.9496878385543823   ,465
19 ,strong       ,1.4609391689300537   ,-4.157983779907227   ,33
20 ,nature       ,-5.0874924659729     ,0.5177388191223145   ,24
21 ,yet          ,-3.5752971172332764  ,-0.9887263178825378  ,88
22 ,woman        ,1.7130913734436035   ,-4.838487148284912   ,70
23 ,late         ,-4.8805108070373535  ,5.363346576690674    ,28
24 ,little       ,0.2659481465816498   ,-4.0322136878967285  ,269
25 ,holmes       ,-2.9776265621185303  ,-5.1459245681762695  ,460
26 ,marriage     ,-1.8910073041915894  ,4.048206329345703    ,26
27 ,us           ,-0.41783618927001953 ,-1.254409670829773   ,183
28 ,away         ,2.703883409500122    ,0.21298319101333618  ,106
29 ,man          ,1.7167266607284546   ,-5.206897735595703   ,302
30 ,first        ,1.914493203163147    ,-1.2344062328338623  ,86
31 ,attention    ,-0.7192972302436829  ,2.520291566848755    ,24
32 ,every        ,0.5505082011222839   ,0.28981614112854004  ,81
33 ,baker        ,0.2421661615371704   ,0.8607797622680664   ,42
34 ,street       ,2.9242465496063232   ,4.101599216461182    ,83
35 ,among        ,1.0634902715682983   ,2.945488452911377    ,35
36 ,old          ,0.689653754234314    ,1.430732011795044    ,68
37 ,week         ,3.424129009246826    ,3.50799298286438     ,27
38 ,still        ,-0.4162329137325287  ,2.6867082118988037   ,80
39 ,ever         ,-1.901001214981079   ,-1.5990015268325806  ,70
40 ,crime        ,-5.3119330406188965  ,0.7041200995445251   ,32
41 ,police       ,-1.3042576313018799  ,-0.9301639199256897  ,43
42 ,time         ,-1.0242998600006104  ,-5.612283706665039   ,151
43 ,heard        ,-5.664183139801025   ,4.413866996765137    ,112
44 ,account      ,-6.582833290100098   ,-1.1958500146865845  ,20
45 ,case         ,-4.278319835662842   ,0.19332289695739746  ,109
46 ,singular     ,0.8247506618499756   ,2.039259910583496    ,33
47 ,family       ,0.7418358325958252   ,-3.487459659576416   ,30
48 ,however      ,-2.2134432792663574  ,0.6062595248222351   ,107
49 ,knew         ,-3.937229633331299   ,7.9202117919921875   ,57
50 ,friend       ,-2.051344633102417   ,3.402296781539917    ,79
51 ,companion    ,3.788569450378418    ,-2.4148385524749756  ,34
52 ,night        ,0.1617477536201477   ,2.7279000282287598   ,81
53 ,returned     ,4.611889839172363    ,5.160088539123535    ,36
54 ,way          ,-0.30037155747413635 ,-5.171970844268799   ,115
55 ,led          ,3.5432279109954834   ,5.997248649597168    ,25
56 ,passed       ,4.896762847900391    ,3.3660247325897217   ,41
57 ,door         ,6.764338493347168    ,-1.8440124988555908  ,141
58 ,must         ,2.341857433319092    ,9.358551025390625    ,161
59 ,always       ,-0.6651279330253601  ,3.128500461578369    ,57
60 ,dark         ,1.226723551750183    ,1.2124744653701782   ,37
61 ,see          ,-8.103737831115723   ,0.7121939063072205   ,229
62 ,know         ,-8.094972610473633   ,1.0474369525909424   ,170
63 ,rooms        ,0.28555506467819214  ,-2.0127291679382324  ,27
64 ,even         ,-1.2229975461959839  ,0.276227205991745    ,70
65 ,looked       ,4.177944660186768    ,6.329802989959717    ,51
66 ,saw          ,3.9663262367248535   ,6.43535041809082     ,89
67 ,room         ,5.947571754455566    ,2.3945112228393555   ,134
68 ,head         ,5.47504186630249     ,-0.23316633701324463 ,67
69 ,hands        ,6.0197834968566895   ,-0.34948840737342834 ,73
70 ,behind       ,2.1097018718719482   ,1.9997025728225708   ,50
71 ,manner       ,1.6393171548843384   ,-4.343286037445068   ,28
72 ,told         ,-0.781697690486908   ,3.382215976715088    ,50
73 ,story        ,-2.3957104682922363  ,3.7808165550231934   ,34
74 ,work         ,-0.8843259811401367  ,-2.8302295207977295  ,42
75 ,new          ,-0.19943539798259735 ,-2.9243032932281494  ,30
76 ,problem      ,-6.230930328369141   ,2.815093994140625    ,20
77 ,shown        ,0.14750641584396362  ,5.626691818237305    ,20
78 ,part         ,4.84846305847168     ,3.8433914184570312   ,32
79 ,think        ,-8.073946952819824   ,1.1501320600509644   ,174
80 ,hardly       ,-2.5910701751708984  ,-1.8497536182403564  ,50
81 ,word         ,-1.931566834449768   ,0.4446909725666046   ,40
82 ,eye          ,3.501493453979492    ,-1.148187518119812   ,24
83 ,threw        ,5.71628475189209     ,4.364769458770752    ,29
84 ,across       ,3.4628148078918457   ,0.7962120771408081   ,37
85 ,corner       ,2.318596839904785    ,0.5916180610656738   ,32
86 ,stood        ,6.804942607879639    ,4.57962703704834     ,35
87 ,fire         ,5.036996841430664    ,-2.0391592979431152  ,44
88 ,fashion      ,4.746792793273926    ,-0.8580945730209351  ,20
89 ,remarked     ,-8.197710037231445   ,5.760802745819092    ,64
90 ,watson       ,-3.8869781494140625  ,2.24052095413208     ,81
91 ,put          ,-6.514603614807129   ,-1.3658889532089233  ,69
92 ,seven        ,-6.2489190101623535  ,2.830410957336426    ,28
93 ,half         ,0.7528343200683594   ,0.8307482004165649   ,39
94 ,since        ,-1.2717127799987793  ,0.7978016138076782   ,39
95 ,answered     ,-8.166975021362305   ,5.742973327636719    ,56
96 ,indeed       ,-4.092322826385498   ,1.9130326509475708   ,62
97 ,thought      ,-5.663013458251953   ,4.311283588409424    ,77
98 ,tell         ,-8.569536209106445   ,0.5843884348869324   ,98
99 ,go           ,-8.2832670211792     ,-1.01497483253479    ,99
100,girl         ,1.4482263326644897   ,-6.050208568572998   ,26
101,dear         ,-3.6484434604644775  ,3.6028194427490234   ,56
102,said         ,-8.129841804504395   ,5.732278347015381    ,486
103,much         ,-3.4351065158843994  ,0.1655121147632599   ,120
104,certainly    ,-4.317535400390625   ,2.336853504180908    ,45
105,ago          ,1.5313302278518677   ,3.838324546813965    ,28
106,true         ,-0.9902141690254211  ,3.0731089115142822   ,29
107,country      ,-1.0382179021835327  ,1.348454475402832    ,31
108,came         ,3.758547306060791    ,6.003939151763916    ,146
109,home         ,2.0169429779052734   ,-1.2470005750656128  ,46
110,imagine      ,-7.6399054527282715  ,1.157187581062317    ,29
111,mary         ,-2.6990466117858887  ,3.8401801586151123   ,22
112,wife         ,2.9860215187072754   ,-2.9059579372406006  ,60
113,given        ,-0.2928302586078644  ,5.240914821624756    ,32
114,long         ,0.12555068731307983  ,2.332329273223877    ,87
115,together     ,2.9594876766204834   ,2.164728879928589    ,35
116,left         ,0.8266406059265137   ,4.090980052947998    ,85
117,six          ,0.05164261907339096  ,4.4051833152771      ,24
118,round        ,3.1997365951538086   ,0.620042622089386    ,81
119,order        ,-0.3642520308494568  ,-2.5280866622924805  ,21
120,london       ,-0.8505029082298279  ,0.8127908706665039   ,41
121,gentleman    ,2.448601722717285    ,-5.388052940368652   ,45
122,black        ,3.4201250076293945   ,0.2603111267089844   ,49
123,right        ,-2.6195833683013916  ,2.2025182247161865   ,96
124,side         ,2.3138046264648438   ,0.31677690148353577  ,80
125,could        ,2.407154083251953    ,9.357637405395508    ,286
126,help         ,-9.292803764343262   ,0.3155663013458252   ,47
127,hear         ,-7.234928131103516   ,0.9717985987663269   ,32
128,give         ,-8.915769577026367   ,0.1700943261384964   ,60
129,thing        ,-4.70641565322876    ,1.1253036260604858   ,47
130,though       ,0.28763720393180847  ,1.9549291133880615   ,63
131,believe      ,-8.181326866149902   ,2.1714792251586914   ,35
132,good         ,-2.36889386177063    ,1.9122686386108398   ,109
133,quite        ,-2.8818111419677734  ,0.8837176561355591   ,107
134,clear        ,-6.133960723876953   ,2.5492446422576904   ,44
135,steps        ,-1.4716897010803223  ,7.999451160430908    ,25
136,well         ,-3.0644617080688477  ,1.7688275575637817   ,186
137,many         ,-1.0828624963760376  ,-2.0088722705841064  ,41
138,observed     ,1.7942726612091064   ,4.828856468200684    ,22
139,point        ,-4.801058292388916   ,-1.1898090839385986  ,43
140,enough       ,-1.9751150608062744  ,1.6337456703186035   ,58
141,two          ,0.6289212107658386   ,3.6323235034942627   ,143
142,may          ,2.342345714569092    ,9.382475852966309    ,197
143,open         ,2.6578047275543213   ,2.6559603214263916   ,63
144,table        ,2.494326591491699    ,1.0138438940048218   ,43
145,last         ,1.1828550100326538   ,-0.8666063547134399  ,95
