  ,word       ,x                  ,y                  ,count
0 ,beowulf    ,-13.742862701416016,33.8773307800293   ,215
1 ,would      ,-13.823488235473633,-65.77702331542969 ,78
2 ,good       ,20.220565795898438 ,29.410350799560547 ,30
3 ,yet        ,-66.35841369628906 ,-19.32884979248047 ,30
4 ,may        ,-2.0663650035858154,-65.4437484741211  ,41
5 ,read       ,61.462738037109375 ,-21.694120407104492,37
6 ,hrothgar   ,-26.271928787231445,54.64381790161133  ,103
7 ,see        ,-11.740320205688477,-52.840694427490234,37
8 ,given      ,-76.2272720336914  ,40.23997497558594  ,32
9 ,us         ,45.7540283203125   ,33.16280746459961  ,40
10,great      ,-18.98666763305664 ,-1.1136902570724487,44
11,first      ,15.245400428771973 ,-16.522132873535156,30
12,translation,52.398136138916016 ,-15.09222412109375 ,34
13,lord       ,-50.15958023071289 ,59.663028717041016 ,55
14,glory      ,-59.76368713378906 ,-7.005282878875732 ,33
15,hand       ,-78.84516906738281 ,-32.19935607910156 ,35
16,words      ,45.63248825073242  ,-4.135644912719727 ,30
17,spirit     ,7.697574615478516  ,-22.128889083862305,66
18,though     ,21.488155364990234 ,-84.21894073486328 ,38
19,many       ,-23.82978057861328 ,-17.838098526000977,67
20,king       ,-7.765035629272461 ,71.0030517578125   ,89
21,scyldings  ,-19.883176803588867,81.08934020996094  ,40
22,grendel    ,0.8747972846031189 ,22.088211059570312 ,83
23,monster    ,8.952524185180664  ,-32.320072174072266,41
24,building   ,53.47919845581055  ,19.759571075439453 ,39
25,one        ,11.274261474609375 ,50.81953048706055  ,131
26,higelac    ,-31.96062660217285 ,49.0780029296875   ,48
27,hrothgar's ,10.366756439208984 ,-55.84918212890625 ,30
28,warriors   ,31.586811065673828 ,15.072551727294922 ,47
29,early      ,-46.30835723876953 ,-78.22245025634766 ,36
30,heorot     ,-20.452571868896484,37.9925537109375   ,32
31,death      ,-44.598609924316406,41.88029861450195  ,41
32,look       ,-39.72386169433594 ,6.6471123695373535 ,31
33,waters     ,-12.968643188476562,58.52339172363281  ,31
34,hero       ,-1.612362027168274 ,50.52635955810547  ,65
35,people     ,-0.8976590633392334,86.15182495117188  ,52
36,dragon     ,4.141806125640869  ,41.14479446411133  ,43
37,body       ,-84.27306365966797 ,23.087488174438477 ,37
38,shall      ,-59.624267578125   ,-59.138084411621094,65
39,life       ,-57.61528015136719 ,33.185855865478516 ,57
40,battle     ,-51.38067626953125 ,-45.722267150878906,62
41,father     ,-41.78741455078125 ,60.403568267822266 ,47
42,son        ,-34.807891845703125,65.68456268310547  ,78
43,men        ,18.29022979736328  ,18.582260131835938 ,55
44,etc        ,52.235599517822266 ,7.031829357147217  ,42
45,beowulf's  ,-8.580821990966797 ,41.09624481201172  ,45
46,prince     ,41.81011199951172  ,17.551773071289062 ,32
47,geatmen    ,-22.547470092773438,68.31016540527344  ,40
48,sorrow     ,-68.9294662475586  ,21.731969833374023 ,36
49,long       ,33.1414680480957   ,-4.806846618652344 ,40
50,sword      ,10.121572494506836 ,-72.93475341796875 ,37
51,old        ,-34.804866790771484,24.459684371948242 ,56
52,armor      ,-2.7453458309173584,-86.11935424804688 ,35
53,man        ,37.31583786010742  ,61.46150207519531  ,51
54,god        ,36.04482650756836  ,33.033233642578125 ,47
55,helmet     ,58.14968490600586  ,61.658084869384766 ,30
56,ocean      ,23.163854598999023 ,11.015667915344238 ,30
57,heard      ,-24.691133499145508,-45.83720779418945 ,41
58,neath      ,68.30144500732422  ,11.894166946411133 ,43
59,till       ,69.5091552734375   ,47.6085205078125   ,43
60,o'er       ,22.885578155517578 ,51.35009765625     ,58
61,able       ,23.774076461791992 ,-48.56574630737305 ,34
62,jewels     ,-16.202661514282227,49.045677185058594 ,54
63,ever       ,39.03976821899414  ,5.699760913848877  ,38
64,heroes     ,8.915738105773926  ,18.270536422729492 ,71
65,suggests   ,74.10962677001953  ,-31.40254020690918 ,39
66,passage    ,82.96703338623047  ,-24.46329689025879 ,34
67,twas       ,-2.4048540592193604,32.40415954589844  ,38
68,treasure   ,26.74002456665039  ,38.37520217895508  ,38
69,came       ,-60.46675109863281 ,-34.16059875488281 ,46
70,gave       ,-51.936927795410156,-18.22915267944336 ,33
71,thy        ,-64.0651626586914  ,7.428718090057373  ,43
72,thou       ,-70.92169952392578 ,-48.89499282836914 ,70
73,thee       ,-24.407615661621094,-85.22084045410156 ,66
74,went       ,-29.727506637573242,-26.409582138061523,30
75,weapon     ,-15.743961334228516,-13.929841041564941,32
