   ,word      ,x                    ,y                    ,count,part_of_speech
85 ,immortal  ,20.113515853881836   ,5.984156131744385    ,37   ,JJ
86 ,songs     ,6.98250150680542     ,4.469078540802002    ,81   ,NNS
87 ,voice     ,-8.297048568725586   ,-1.6144124269485474  ,86   ,NN
88 ,what      ,3.322615385055542    ,18.153806686401367   ,451  ,WP
89 ,thou      ,21.938446044921875   ,-5.708017826080322   ,116  ,NN
90 ,?         ,1.3846756219863892   ,7.618884563446045    ,734  ,.
91 ,it        ,1.0755066871643066   ,16.210559844970703   ,793  ,PRP
92 ,there     ,2.624765396118164    ,16.839765548706055   ,111  ,EX
93 ,but       ,3.9837698936462402   ,14.88162899017334    ,425  ,CC
94 ,perfect   ,4.239803791046143    ,-3.3637146949768066  ,67   ,JJ
95 ,soldiers  ,0.46353524923324585  ,-5.0913405418396     ,40   ,NNS
96 ,be        ,12.899255752563477   ,12.77927303314209    ,491  ,VB
97 ,so        ,3.7332894802093506   ,13.307378768920898   ,250  ,RB
98 ,then      ,-14.448275566101074  ,4.401767730712891    ,145  ,RB
99 ,too       ,8.63963794708252     ,18.516849517822266   ,103  ,RB
100,also      ,5.013290882110596    ,14.362228393554688   ,66   ,RB
101,war       ,11.993711471557617   ,1.7440201044082642   ,98   ,NN
102,greater   ,-8.66805648803711    ,29.518695831298828   ,25   ,JJR
103,than      ,1.3010714054107666   ,20.015003204345703   ,220  ,IN
104,any       ,-15.833439826965332  ,15.41437816619873    ,205  ,DT
105,book      ,20.313949584960938   ,-12.323054313659668  ,48   ,NN
106,certain   ,-11.31921100616455   ,24.46753692626953    ,28   ,JJ
107,as        ,-0.06552870571613312 ,19.193653106689453   ,115  ,RB
108,good      ,5.213657855987549    ,6.430910587310791    ,124  ,JJ
109,at        ,-4.43504524230957    ,-5.938729286193848   ,459  ,IN
110,last      ,5.402375221252441    ,-0.9620084166526794  ,102  ,JJ
111,field     ,3.3640477657318115   ,-25.862228393554688  ,24   ,NN
112,world     ,-4.180736541748047   ,6.861350059509277    ,127  ,NN
