,word,x,y,count
0,chapter,2.0329129695892334,-0.548200786113739,367
1,well,-25.7921142578125,12.495748519897461,694
2,prince,16.766319274902344,-9.633360862731934,1928
3,family,-19.372953414916992,-16.34693145751953,144
4,estates,-9.098722457885742,-18.38824462890625,39
5,tell,6.088900566101074,-34.24332809448242,375
6,means,-26.627424240112305,-15.61605453491211,70
7,war,-16.703086853027344,-24.32081413269043,296
8,still,-5.8274335861206055,6.54119348526001,669
9,try,0.7120643258094788,-26.40976333618164,71
10,really,-18.90291404724121,2.1232361793518066,203
11,believe,3.941514492034912,-33.3177375793457,124
12,nothing,19.246448516845703,-21.880956649780273,467
13,longer,-19.5718936920166,-6.443482875823975,176
14,friend,11.875741958618164,-7.020565509796143,186
15,call,9.80263900756836,-31.469703674316406,91
16,see,5.1883158683776855,-33.633235931396484,731
17,frightened,30.670917510986328,0.23796527087688446,117
18,sit,17.287769317626953,-27.837726593017578,69
19,news,-10.423430442810059,-32.598594665527344,171
20,anna,18.365764617919922,-16.614463806152344,293
21,pávlovna,24.096332550048828,-1.1985840797424316,152
22,maid,18.24595832824707,-5.713809967041016,61
23,honor,7.496724605560303,-5.8499860763549805,159
24,favorite,13.484113693237305,-4.77878475189209,37
25,márya,20.097578048706055,-16.17266273498535,114
26,words,-24.545936584472656,-8.859160423278809,395
27,vasíli,15.685779571533203,-18.908687591552734,243
28,kurágin,13.984631538391113,-12.71224308013916,66
29,man,17.339664459228516,-2.4069111347198486,1189
30,high,29.98822784423828,14.675592422485352,118
31,rank,-8.661519050598145,-39.45235061645508,30
32,importance,-15.476789474487305,-5.007626056671143,47
33,first,-1.2299320697784424,-1.7420371770858765,620
34,reception,26.601119995117188,13.264666557312012,48
35,days,-14.407430648803711,-43.3227424621582,194
36,said,-27.98924446105957,32.49580764770508,2842
37,suffering,1.7790324687957764,-9.886693954467773,72
38,la,-24.070646286010742,16.958328247070312,41
39,new,-7.652585029602051,-3.5148708820343018,283
40,word,20.407878875732422,-36.247257232666016,234
41,st,-5.662657260894775,-21.158641815185547,40
42,petersburg,-10.883218765258789,-22.78883171081543,244
43,used,-39.18171310424805,-0.0807260051369667,132
44,without,-0.9810547232627869,10.227444648742676,667
45,written,-4.077966690063477,31.58795166015625,63
46,french,11.332945823669434,6.151333808898926,879
