,word,x,y,count
0,alice,3.6214845180511475,9.500666618347168,398
1,get,-62.27253723144531,-22.303285598754883,46
2,nothing,26.724571228027344,8.265279769897461,34
3,thought,23.344541549682617,-62.17751693725586,74
4,well,-31.355693817138672,6.6815595626831055,60
5,could,40.448150634765625,-11.252367973327637,77
6,made,40.48664855957031,-44.2103271484375,30
7,would,-51.99110794067383,38.298301696777344,83
8,white,-26.481660842895508,-8.398016929626465,30
9,rabbit,49.39085388183594,-16.91440773010254,47
10,think,17.409677505493164,9.127544403076172,53
11,much,38.780609130859375,-57.9738883972168,51
12,way,11.294511795043945,-12.92127799987793,52
13,say,34.245994567871094,54.988609313964844,50
14,oh,7.1181488037109375,50.57406997680664,39
15,time,53.559539794921875,-4.604069709777832,68
16,quite,-14.519530296325684,8.24479866027832,55
17,looked,16.277420043945312,-31.441251754760742,45
18,never,19.586769104003906,35.819393157958984,46
19,see,10.09557819366455,40.465694427490234,66
20,large,-44.95795822143555,-5.482971668243408,33
21,moment,41.69849395751953,-24.184900283813477,31
22,went,16.43964385986328,-50.31031036376953,83
23,like,4.667518138885498,31.64013671875,85
24,found,6.47414493560791,-46.95712661743164,32
25,next,-57.96775436401367,25.184053421020508,30
26,first,54.93449783325195,-41.391868591308594,49
27,one,23.45693588256836,15.453609466552734,102
28,great,-12.609472274780273,-7.25675106048584,39
29,put,66.24832153320312,-9.180476188659668,31
30,come,-40.001564025878906,-55.8555908203125,46
31,said,-5.978246688842773,19.867238998413086,462
32,must,-46.75637435913086,50.03865051269531,44
33,right,-45.044639587402344,22.246274948120117,31
34,got,24.694232940673828,-16.999526977539062,45
35,began,-38.23399353027344,-0.24627813696861267,58
36,know,3.286221742630005,38.93505859375,85
37,little,13.763906478881836,-6.730379581451416,128
38,cat,32.365997314453125,40.29114532470703,37
39,mouse,58.955631256103516,-25.190746307373047,39
40,tell,-34.21928024291992,61.85862350463867,32
41,came,6.592978000640869,-37.84964370727539,40
42,long,28.53201675415039,0.41102004051208496,32
43,round,-8.43403434753418,-22.879817962646484,41
44,head,-27.36766815185547,-25.486797332763672,49
45,go,-24.717529296875,12.345888137817383,50
46,back,44.50822067260742,1.813307523727417,38
47,thing,-34.99616241455078,-32.60034942626953,49
48,two,-6.436169624328613,-67.7569351196289,39
49,heard,30.79544448852539,-8.955465316772461,30
50,duchess,39.29497146606445,29.875774383544922,42
51,voice,-36.10163497924805,-21.37916374206543,47
52,tone,-65.5195083618164,-3.9223709106445312,40
53,last,45.89454650878906,-30.28089141845703,33
54,looking,28.118085861206055,-46.09038543701172,30
55,queen,60.08785629272461,26.2474422454834,75
56,hatter,46.586212158203125,25.004894256591797,56
57,march,31.691238403320312,19.36895751953125,33
58,hare,-55.95185470581055,-40.47712707519531,31
59,dormouse,44.09075164794922,19.32433319091797,40
60,king,48.90826416015625,30.170886993408203,63
61,mock,46.40443420410156,41.126434326171875,56
62,turtle,58.33113098144531,10.00098991394043,58
63,gryphon,51.59995651245117,21.632041931152344,55
